match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,super_over_match
26,"April 18, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,DC,League,DC,Bowl,175,8,179,4,completed,DC,,6,1,Tristan Stubbs,Phil Salt,63,Bhuvneshwar Kumar,3--26,No
27,"April 18, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,CSK,League,CSK,Bowl,194,9,184,8,completed,SRH,10,,0,Eshan Malinga,Abhishek Sharma,59,Eshan Malinga,3--29,No
28,"April 19, 2026","Eden Gardens, Kolkata",KKR,RR,League,RR,Bat,155,9,161,6,completed,KKR,,4,2,Varun Chakravarthy,Rinku Singh,53,Varun Chakravarthy,3--14,No
29,"April 19, 2026","New PCA Cricket Stadium, Mullanpur",PBKS,LSG,League,LSG,Bowl,254,7,200,5,completed,PBKS,54,,0,Priyansh Arya,Priyansh Arya,93,Prince Yadav,2--25,No
30,"April 20, 2026","Narendra Modi Stadium, Ahmedabad",GT,MI,League,GT,Bowl,199,5,100,10,completed,MI,99,,25,Tilak Varma,Tilak Varma,101,Ashwani Kumar,4--24,No
31,"April 21, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,DC,League,DC,Bowl,242,2,195,9,completed,SRH,47,,0,Abhishek Sharma,Abhishek Sharma,135,Eshan Malinga,4--32,No
32,"April 22, 2026","Ekana Cricket Stadium, Lucknow",LSG,RR,League,LSG,Bowl,159,6,119,10,completed,LSG,40,,12,Ravindra Jadeja,Mitchell Marsh,55,Jofra Archer,3--20,No
33,"April 23, 2026","Wankhede Stadium, Mumbai",MI,CSK,League,MI,Bowl,207,6,104,10,completed,CSK,103,,6,Sanju Samson,Sanju Samson,101,Akeal Hosein,4--17,No
34,"April 24, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,GT,League,RCB,Bowl,205,3,206,5,completed,RCB,,5,7,Virat Kohli,Sai Sudarshan,100,Rashid Khan,2--49,No
35,"April 25, 2026","Arun Jaitley Stadium, Delhi",DC,PBKS,League,DC,Bat,264,2,265,4,completed,PBKS,,6,7,KL Rahul,KL Rahul,152,Kuldeep Yadav,2--46,No
36,"April 25, 2026","Sawai Mansingh Stadium, Jaipur",RR,SRH,League,SRH,Bowl,228,6,229,5,completed,SRH,,5,9,Ishan Kishan,Vaibhav Sooryavanshi,103,Jofra Archer,2--34,No
37,"April 26, 2026","Narendra Modi Stadium, Ahmedabad",GT,CSK,League,GT,Bowl,158,7,162,2,completed,GT,,8,20,Kagiso Rabada,Sai Sudarshan,87,Kagiso Rabada,3--25,No
38,"April 26, 2026","Ekana Cricket Stadium, Lucknow",LSG,KKR,League,LSG,Bowl,155,7,155,8,completed,KKR,,,5,Rinku Singh,Rinku Singh,83,Mohsin Khan,5--23,Yes
39,"April 27, 2026","Arun Jaitley Stadium, Delhi",DC,RCB,League,RCB,Bowl,75,10,77,1,completed,RCB,,9,81,Josh Hazlewood,Devdutt Padikkal,34,Josh Hazlewood,4--12,No
